1661990400000,279.30000000,280.30000000,270.70000000,278.30000000,415193.21200000,1662076799999,114562125.81340000,203985,207240.23300000,57183318.36980000,0
1662076800000,278.30000000,283.40000000,273.70000000,277.50000000,321409.94800000,1662163199999,89625526.05700000,171642,164264.71800000,45823678.68880000,0
1662163200000,277.40000000,278.80000000,274.20000000,277.80000000,148504.88300000,1662249599999,41095391.74660000,99878,74554.53700000,20635475.06770000,0
1662249600000,277.80000000,280.60000000,275.00000000,279.10000000,193440.80800000,1662335999999,53790499.56370000,112267,97496.40900000,27114986.04830000,0
1662336000000,279.10000000,282.00000000,273.40000000,276.90000000,258958.14900000,1662422399999,71532780.19410000,140956,128488.21400000,35502512.10340000,0
1662422400000,276.90000000,286.30000000,261.00000000,262.50000000,640922.53100000,1662508799999,176536165.53610000,292600,317981.58200000,87620767.16710000,0
1662508800000,262.50000000,280.40000000,258.60000000,278.90000000,431827.21800000,1662595199999,115857094.20420000,209484,221009.34200000,59330679.07330000,0
1662595200000,279.00000000,282.90000000,275.40000000,280.50000000,385559.74900000,1662681599999,107680601.83480000,191459,200862.92300000,56109645.25480000,0
1662681600000,280.60000000,295.90000000,280.00000000,293.40000000,541869.40900000,1662767999999,157120633.66170000,285673,290221.16200000,84155122.31900000,0
1662768000000,293.40000000,298.60000000,290.30000000,296.70000000,328332.54200000,1662854399999,96679858.83810000,196432,172829.46100000,50901392.95450000,0
1662854400000,296.70000000,298.10000000,289.70000000,295.30000000,261093.94500000,1662940799999,76921681.90300000,156918,130056.04600000,38322814.40420000,0
1662940800000,295.30000000,300.00000000,290.80000000,294.10000000,408686.16800000,1663027199999,120574133.56280000,218099,209984.98200000,61960609.01360000,0
1663027200000,294.10000000,298.60000000,275.40000000,277.40000000,578322.33000000,1663113599999,165715028.31640000,309903,287087.39700000,82286357.87060000,0
1663113600000,277.50000000,282.80000000,273.30000000,279.30000000,424974.98500000,1663199999999,118512336.01260000,229057,206637.24900000,57639181.44830000,0
1663200000000,279.40000000,280.50000000,266.30000000,271.10000000,520635.26100000,1663286399999,142604951.85730000,236907,258796.21400000,70890579.61480000,0
1663286400000,271.10000000,276.60000000,268.50000000,274.90000000,311737.81800000,1663372799999,85275040.42550000,173202,157405.65100000,43064157.87840000,0
1663372800000,274.90000000,279.90000000,274.70000000,279.10000000,189707.95100000,1663459199999,52624982.81630000,121435,99464.71300000,27595032.51070000,0
1663459200000,279.10000000,280.30000000,263.10000000,266.20000000,327883.90800000,1663545599999,89585859.65560000,179827,163832.08300000,44771064.42190000,0
1663545600000,266.30000000,273.00000000,256.70000000,271.90000000,508029.19000000,1663631999999,134393256.61330000,243379,254860.67800000,67433802.35660000,0
1663632000000,272.00000000,273.70000000,265.20000000,266.30000000,335455.45400000,1663718399999,90215570.16370000,163030,164772.56400000,44323027.43490000,0
1663718400000,266.30000000,276.40000000,260.30000000,264.00000000,535775.82100000,1663804799999,143451738.20750000,259759,275548.62200000,73783424.24200000,0
1663804800000,264.00000000,276.70000000,263.50000000,275.30000000,339390.82100000,1663891199999,91412188.43380000,176775,176427.58000000,47535209.10580000,0
1663891200000,275.40000000,277.90000000,268.30000000,276.70000000,363390.80500000,1663977599999,99381888.09400000,213243,186613.19600000,51042455.32750000,0
1663977600000,276.70000000,285.00000000,274.20000000,274.40000000,324988.43200000,1664063999999,90927137.72130000,181474,168697.73700000,47213244.66500000,0
1664064000000,274.40000000,280.00000000,270.90000000,274.30000000,220895.59800000,1664150399999,60865798.22270000,132247,109679.49700000,30226067.86020000,0
1664150400000,274.30000000,276.90000000,270.80000000,276.10000000,267919.66500000,1664236799999,73404700.58700000,172376,132077.33900000,36197095.66170000,0
1664236800000,276.10000000,286.60000000,269.20000000,272.30000000,406749.83500000,1664323199999,113664496.21360000,236540,209801.75300000,58652824.85540000,0
1664323200000,272.30000000,283.70000000,266.30000000,281.60000000,357981.39700000,1664409599999,98283085.97970000,213123,187974.07700000,51650683.67390000,0
1664409600000,281.60000000,285.60000000,277.10000000,284.10000000,301167.34400000,1664495999999,84839263.81850000,195346,154148.73500000,43436828.15080000,0
1664496000000,284.20000000,289.80000000,280.50000000,284.80000000,391981.58700000,1664582399999,111674332.32330000,220309,201616.88800000,57447129.79150000,0
