,open_time,open,high,low,close,volume,close_time,qav,num_trades,taker_base_vol,taker_quote_vol,ignore,RSI,%K,%D,MACD_12_26_9,MACDh_12_26_9,MACDs_12_26_9,conversion_line,base_line,lead_span_A,lead_span_B,lagging_span,CCI
0,2020-01-01 00:00:00,7195.24,7245.0,7175.46,7224.21,3646.232354,1577858399999,26314496.89822365,44901,1987.27885,14343507.26581432,0,,,,,,,,,,,8077.68,
1,2020-01-01 06:00:00,7224.24,7237.73,7180.0,7197.2,4415.466238,1577879999999,31828899.76922387,51073,2173.642319,15669633.42611469,0,,,,,,,,,,,8055.98,
2,2020-01-01 12:00:00,7197.2,7255.0,7196.15,7236.83,5443.680806,1577901599999,39349480.16210169,55857,3229.260535,23345525.06791561,0,,,,,,,,,,,7941.83,
3,2020-01-01 18:00:00,7237.02,7246.72,7175.15,7200.85,3287.008767,1577923199999,23721575.28651307,42179,1556.773831,11239119.45248972,0,,,,,,,,,,,7878.56,
4,2020-01-02 00:00:00,7200.77,7212.5,7116.7,7138.93,5561.311699,1577944799999,39803169.14954907,60466,2579.98927,18468581.44626558,0,,,,,,,,,,,7798.6,
5,2020-01-02 06:00:00,7138.93,7180.0,7105.0,7139.79,6398.207498,1577966399999,45703648.89654875,63110,3096.720431,22124624.52664434,0,,,,,,,,,,,7817.76,
6,2020-01-02 12:00:00,7139.73,7163.4,6924.74,6970.04,13967.341525,1577987999999,98490655.89390272,114903,6370.134485,44899671.83651685,0,,,,,,,,,,,7748.86,
7,2020-01-02 18:00:00,6970.04,6995.0,6941.27,6965.71,6024.62321,1578009599999,41984867.36113975,64188,3094.767154,21567951.26863787,0,,,,,,,,,,,7841.69,
8,2020-01-03 00:00:00,6965.49,7264.71,6871.04,7220.47,20762.56545,1578031199999,146817507.3743947,145734,10608.304485,75105286.05164933,0,,,,,,,,,,,7966.3,
9,2020-01-03 06:00:00,7220.49,7371.92,7185.04,7340.46,19457.521065,1578052799999,141693354.08118615,146816,10213.056458,74373552.07402502,0,,,,,,,,,,,8197.02,
10,2020-01-03 12:00:00,7340.46,7405.0,7229.3,7355.26,18632.535526,1578074399999,136499668.8331395,137975,9805.512943,71863853.04327819,0,,,,,,,,,,,8083.41,
11,2020-01-03 18:00:00,7355.23,7369.47,7260.01,7344.96,9575.87841,1578095999999,70088052.67331503,89329,4968.622387,36370422.68277605,0,,,,,,,,,,,8045.95,
12,2020-01-04 00:00:00,7345.0,7369.28,7280.85,7344.69,5692.356825,1578117599999,41689255.47517994,59322,2907.222121,21293341.20057939,0,,,,,,,,,,,8160.56,
13,2020-01-04 06:00:00,7344.7,7369.63,7302.1,7336.45,8205.837966,1578139199999,60268710.93587705,68975,4495.523666,33019748.1201146,0,,87.16195969735557,,,,,,,,,8020.01,96.9766266918402
14,2020-01-04 12:00:00,7336.75,7352.0,7291.0,7351.99,6706.235524,1578160799999,49060275.44556977,65559,3919.884301,28677877.67867374,0,58.369357331866155,90.07229005918043,,,,,,,,,8106.05,80.24374619959461
15,2020-01-04 18:00:00,7351.36,7404.0,7272.21,7354.11,9383.544662,1578182399999,68855999.08332135,85514,5046.75216,37044144.72470392,0,58.493492819697735,90.46932354483477,89.23452443379024,,,,,,,,8114.08,75.95615290656856
16,2020-01-05 00:00:00,7354.19,7495.0,7354.11,7459.12,14123.803631,1578203999999,105128039.26545124,105358,7685.431865,57192044.0612412,0,64.18952464151319,94.24963138662733,91.59708166354751,,,,,,,,8101.47,111.9683227343463
17,2020-01-05 06:00:00,7458.51,7481.25,7400.0,7422.33,7719.629401,1578225599999,57386185.74014623,65847,3936.915045,29267686.73584717,0,61.02957351170443,88.35342009103147,91.02412500749786,,,,,,,,8184.98,96.06625891947076
18,2020-01-05 12:00:00,7422.27,7484.0,7415.0,7464.65,7757.54681,1578247199999,57814503.49579579,79203,3848.146875,28680795.60865267,0,63.269547814498125,95.13590614782994,92.57965254182959,,,,,,,,8096.23,96.89236464603158
19,2020-01-05 18:00:00,7464.62,7468.87,7318.0,7358.75,8730.105762,1578268799999,64519955.28778294,78801,3984.875779,29459567.9839097,0,54.78371719886235,78.16366433745752,87.21766352543965,,,,7183.02,,,,8075.01,53.207648216840504
20,2020-01-06 00:00:00,7357.64,7580.0,7346.76,7532.85,16605.761047,1578290399999,124442690.27481721,116814,8911.746286,66767140.99238111,0,63.4603546369829,93.3494132250057,88.88299457009772,,,,7225.52,,,,8098.22,124.71005933508805
21,2020-01-06 06:00:00,7532.85,7582.27,7505.57,7544.72,9622.543357,1578311999999,72544843.83512384,90114,4509.453848,33998665.35870191,0,63.96802440285349,94.72041393079593,88.74449716441973,,,,7226.655000000001,,,,8110.34,155.2729982651299
22,2020-01-06 12:00:00,7544.72,7622.0,7465.44,7558.48,11940.247863,1578333599999,90058632.10712479,102156,5975.886808,45084455.22337719,0,64.58233679205566,85.46320029293288,91.17767581624484,,,,7246.52,,,,8477.37,136.6370336600546
23,2020-01-06 18:00:00,7558.78,7795.34,7524.0,7758.0,16467.143049,1578355199999,126284315.00898334,140853,9456.680828,72561349.08496442,0,72.02900224631263,93.40329305349444,91.19563575907442,,,,7333.1900000000005,,,,8526.87,203.55985283167465
24,2020-01-07 00:00:00,7758.9,8000.0,7758.29,7869.33,25983.946862,1578376799999,205084537.7081152,180817,13722.977732,108308873.7257083,0,75.16654428895447,82.34165326558465,87.06938220400399,,,,7435.52,,,,8773.35,233.81740344057113
25,2020-01-07 06:00:00,7869.29,7965.0,7851.26,7895.14,11463.980375,1578398399999,90492706.12233402,96545,5491.055986,43342257.72716556,0,75.84306925587104,85.59199769164186,87.11231467024032,,,,7435.52,,,,8810.01,179.88768892089757
26,2020-01-07 12:00:00,7895.13,7952.05,7723.71,7938.33,23519.527472,1578419999999,184714706.8054489,169828,11941.999035,93813014.75278412,0,76.97352611071918,91.52640184668653,86.486684267971,,,,7435.52,,,,8612.29,130.6201811410936
27,2020-01-07 18:00:00,7937.88,8207.68,7919.22,8145.28,30204.229952,1578441599999,243910840.50706452,238125,15036.078796,121402821.4082738,0,81.452383672557,93.32955626583423,90.14931860138755,,,,7539.360000000001,,,,8730.0,159.60290720245132
28,2020-01-08 00:00:00,8145.92,8455.0,8142.0,8334.77,35122.267843,1578463199999,292950130.166788,260638,18046.707246,150554125.61504945,0,84.43728930429214,89.8350510234277,91.56366971198281,,,,7820.02,,,,8797.0,173.19249179674225
