,open_time,open,high,low,close,volume,close_time,qav,num_trades,taker_base_vol,taker_quote_vol,ignore,RSI,%K,%D,MACD_12_26_9,MACDh_12_26_9,MACDs_12_26_9,conversion_line,base_line,lead_span_A,lead_span_B,lagging_span,CCI
0,2020-01-01 00:00:00,129.16,130.98,128.68,130.3,39327.25295,1577858399999,5112574.1494498,17943,18957.95266,2463576.4751366,0,,,,,,,,,,,138.78,
1,2020-01-01 06:00:00,130.31,131.87,129.87,130.74,35639.01774,1577879999999,4655066.719145,19245,18307.11012,2391808.0414653,0,,,,,,,,,,,140.72,
2,2020-01-01 12:00:00,130.74,133.05,130.7,132.34,36349.50295,1577901599999,4796097.188076,19758,20872.47133,2754211.0697823,0,,,,,,,,,,,139.16,
3,2020-01-01 18:00:00,132.34,132.46,129.74,130.77,33454.74833,1577923199999,4388580.4753935,18942,13710.40472,1798344.5746841,0,,,,,,,,,,,138.24,
4,2020-01-02 00:00:00,130.72,130.78,128.69,129.63,54694.2144,1577944799999,7085245.7324365,26791,30031.07468,3890508.4652198,0,,,,,,,,,,,136.04,
5,2020-01-02 06:00:00,129.6,130.28,128.96,129.53,36713.71474,1577966399999,4762678.8439071,18156,18907.93488,2453217.6330664,0,,,,,,,,,,,137.74,
6,2020-01-02 12:00:00,129.52,130.01,126.38,127.4,96583.81886,1577987999999,12357843.5298636,33219,44779.41093,5729032.5694384,0,,,,,,,,,,,135.78,
7,2020-01-02 18:00:00,127.42,127.87,126.79,127.19,25765.31006,1578009599999,3281085.2886143,18027,12112.14143,1542305.9010039,0,,,,,,,,,,,138.43,
8,2020-01-03 00:00:00,127.19,130.15,125.88,129.21,100917.97072,1578031199999,12917379.3138553,39234,54626.78991,6991904.3550024,0,,,,,,,,,,,141.99,
9,2020-01-03 06:00:00,129.24,133.26,128.72,132.46,145011.1205,1578052799999,18988211.8756061,53728,83606.67068,10938881.4501506,0,,,,,,,,,,,144.84,
10,2020-01-03 12:00:00,132.49,134.9,130.93,133.97,104893.34627,1578074399999,13928670.3242286,41275,57191.63789,7598085.9030683,0,,,,,,,,,,,142.89,
11,2020-01-03 18:00:00,134.0,135.14,132.16,134.35,62232.75146,1578095999999,8305026.7028868,28073,32474.15683,4334675.91298,0,,,,,,,,,,,142.63,
12,2020-01-04 00:00:00,134.37,134.81,132.79,133.66,43254.38475,1578117599999,5775540.389395,21510,20461.42507,2732316.6391039,0,,,,,,,,,,,146.53,
13,2020-01-04 06:00:00,133.67,134.31,133.07,133.77,34834.09665,1578139199999,4660618.21801,19535,16050.3199,2147607.5748393,0,,85.20518358531342,,,,,,,,,142.38,102.88390004813789
14,2020-01-04 12:00:00,133.76,134.86,132.5,134.6,48782.83849,1578160799999,6508448.5104558,27430,19863.15062,2651371.1335839,0,63.45431789737168,94.16846652267827,,,,,,,,,144.1,94.85899776830969
15,2020-01-04 18:00:00,134.6,135.85,132.8,134.2,57404.85113,1578182399999,7696528.4510922,27013,29434.77997,3945660.2471675,0,61.788694103309204,83.45035105315942,87.60800038705037,,,,,,,,143.48,89.34732234809456
16,2020-01-05 00:00:00,134.2,137.24,134.19,136.19,77172.86454,1578203999999,10472145.6081008,32025,39678.5392,5384237.2420765,0,66.4999715501381,90.75704225352104,89.45861994311957,,,,,,,,144.18,116.0025300442753
17,2020-01-05 06:00:00,136.17,136.59,134.7,135.07,42367.09587,1578225599999,5736748.096298,19607,20849.47776,2822911.6525286,0,61.87596525293072,80.89788732394355,85.03509354354134,,,,,,,,146.54,89.05709995824299
18,2020-01-05 12:00:00,135.06,138.19,135.06,137.8,71392.52774,1578247199999,9778653.1317791,32975,36243.61195,4965427.8898071,0,67.76052785750937,96.83184402924462,89.49559120223641,,,,,,,,143.4,114.5146538180451
19,2020-01-05 18:00:00,137.8,138.06,134.21,135.37,63187.96528,1578268799999,8606140.7670969,30499,30014.89166,4087867.1860097,0,59.02691868118411,77.0917952883835,84.9405088805239,,,,132.035,,,,142.77,78.83059986519858
20,2020-01-06 00:00:00,135.37,140.0,134.86,139.16,100847.19183,1578290399999,13951564.7095544,38203,49149.04604,6797925.3566693,0,66.31855926072596,94.0509915014164,89.32487693968152,,,,132.94,,,,143.06,137.29902306485388
21,2020-01-06 06:00:00,139.16,143.06,138.78,141.54,99557.79317,1578311999999,14013569.683534,38034,43188.80182,6081351.553128,0,69.93670187809235,91.15250291036082,87.4317632333869,,,,134.47,,,,143.58,199.03985449777437
22,2020-01-06 12:00:00,141.54,143.22,139.08,141.81,126375.18061,1578333599999,17841890.981119,47112,62957.81487,8888303.5042278,0,70.32614185243189,90.27586206896555,91.8264521602476,,,,134.55,,,,148.44,173.62509162614498
23,2020-01-06 18:00:00,141.81,144.41,140.68,144.15,81240.10814,1578355199999,11593519.1130496,36517,44249.23574,6318255.3045321,0,73.52685148636142,98.07121661721075,93.1665271988457,,,,135.14499999999998,,,,151.56,169.1960335621669
