open_time,open,high,low,close,volume,close_time,qav,num_trades,taker_base_vol,taker_quote_vol,ignore
1577836800000,7195.24000000,7245.00000000,7175.46000000,7224.21000000,3646.23235400,1577858399999,26314496.89822370,44901,1987.27885000,14343507.26581430,0
1577858400000,7224.24000000,7237.73000000,7180.00000000,7197.20000000,4415.46623800,1577879999999,31828899.76922390,51073,2173.64231900,15669633.42611470,0
1577880000000,7197.20000000,7255.00000000,7196.15000000,7236.83000000,5443.68080600,1577901599999,39349480.16210170,55857,3229.26053500,23345525.06791560,0
1577901600000,7237.02000000,7246.72000000,7175.15000000,7200.85000000,3287.00876700,1577923199999,23721575.28651310,42179,1556.77383100,11239119.45248970,0
1577923200000,7200.77000000,7212.50000000,7116.70000000,7138.93000000,5561.31169900,1577944799999,39803169.14954910,60466,2579.98927000,18468581.44626560,0
1577944800000,7138.93000000,7180.00000000,7105.00000000,7139.79000000,6398.20749800,1577966399999,45703648.89654880,63110,3096.72043100,22124624.52664430,0
1577966400000,7139.73000000,7163.40000000,6924.74000000,6970.04000000,13967.34152500,1577987999999,98490655.89390270,114903,6370.13448500,44899671.83651690,0
1577988000000,6970.04000000,6995.00000000,6941.27000000,6965.71000000,6024.62321000,1578009599999,41984867.36113980,64188,3094.76715400,21567951.26863790,0
1578009600000,6965.49000000,7264.71000000,6871.04000000,7220.47000000,20762.56545000,1578031199999,146817507.37439500,145734,10608.30448500,75105286.05164930,0
1578031200000,7220.49000000,7371.92000000,7185.04000000,7340.46000000,19457.52106500,1578052799999,141693354.08118600,146816,10213.05645800,74373552.07402500,0
1578052800000,7340.46000000,7405.00000000,7229.30000000,7355.26000000,18632.53552600,1578074399999,136499668.83314000,137975,9805.51294300,71863853.04327820,0
1578074400000,7355.23000000,7369.47000000,7260.01000000,7344.96000000,9575.87841000,1578095999999,70088052.67331500,89329,4968.62238700,36370422.68277610,0
