date,sentiment,neutral_count,positive_count,negative_count,weighted_avg
2020-09-08,1,4,16,5,0.44
2020-09-09,1,2,18,5,0.52
2020-09-10,1,0,21,4,0.68
2020-09-11,1,1,19,5,0.56
2020-09-12,1,1,19,5,0.56
2020-09-13,1,3,16,6,0.4
2020-09-14,1,1,20,4,0.64
2020-09-15,1,0,13,12,0.04
2020-09-16,1,4,16,5,0.44
2020-09-18,1,3,20,2,0.72
2020-09-19,1,2,14,9,0.2
2020-09-20,1,1,18,6,0.48
2020-09-23,1,0,20,5,0.6
2020-09-24,1,0,21,4,0.68
2020-09-25,1,1,21,3,0.72
2020-09-26,1,0,16,9,0.28
2020-09-27,1,2,14,9,0.2
2020-09-28,1,1,19,5,0.56
2020-09-29,1,2,19,4,0.6
2020-09-30,1,1,19,5,0.56
2020-10-01,1,0,19,6,0.52
2020-10-02,1,2,21,2,0.76
2020-10-08,1,0,22,3,0.76
2020-10-09,1,0,19,6,0.52
2020-10-10,1,1,16,8,0.32
2020-10-12,1,2,20,3,0.68
2020-10-13,1,0,21,4,0.68
2020-10-14,1,1,22,2,0.8
2020-10-15,1,0,23,2,0.84
2020-10-17,1,0,16,9,0.28
2020-10-18,1,0,18,7,0.44
2020-10-20,1,0,23,2,0.84
2020-10-21,1,1,23,1,0.88
2020-10-28,0,0,1,1,0.0
2020-10-29,1,0,14,1,0.8666666666666667
2020-10-30,1,1,20,4,0.64
2020-10-31,1,0,20,5,0.6
2020-11-06,1,0,20,5,0.6
2020-11-07,1,1,21,3,0.72
2020-11-08,1,1,17,7,0.4
2020-11-09,1,2,16,7,0.36
2020-11-10,1,0,19,6,0.52
2020-11-11,1,1,20,4,0.64
2020-11-12,1,0,20,5,0.6
2020-11-13,1,1,22,2,0.8
2020-11-14,1,0,17,8,0.36
2020-11-15,1,0,22,3,0.76
2020-11-16,1,0,19,6,0.52
2020-11-17,1,2,19,4,0.6
2020-11-18,1,0,23,2,0.84
