date,sentiment,neutral_count,positive_count,negative_count,weighted_avg
2020-11-06,1,0,15,10,0.2
2020-11-07,2,0,12,13,-0.04
2020-11-08,1,0,22,3,0.76
2020-11-09,1,0,16,9,0.28
2020-11-10,1,0,15,10,0.2
2020-11-11,2,0,9,16,-0.28
2020-11-12,1,0,15,10,0.2
2020-11-17,1,0,17,8,0.36
2020-11-18,1,0,16,9,0.28
2020-11-19,1,0,18,7,0.44
2020-11-20,1,0,16,9,0.28
2020-11-21,1,0,15,10,0.2
2020-11-22,1,0,14,11,0.12
2020-11-23,1,0,18,7,0.44
2020-11-24,1,0,14,11,0.12
2020-11-25,2,0,12,13,-0.04
2020-11-26,1,0,18,7,0.44
2020-11-27,1,0,17,8,0.36
2020-11-28,1,0,16,9,0.28
2020-11-29,1,0,14,11,0.12
2020-11-30,1,0,16,9,0.28
2020-12-07,1,0,16,9,0.28
2020-12-08,1,0,20,5,0.6
2020-12-09,1,0,16,9,0.28
2020-12-10,2,0,11,14,-0.12
2020-12-11,1,0,21,4,0.68
2020-12-12,1,0,15,10,0.2
2020-12-13,1,0,15,10,0.2
2020-12-14,1,0,14,11,0.12
2020-12-15,1,0,15,10,0.2
2020-12-20,1,0,15,10,0.2
2020-12-21,1,0,15,10,0.2
2020-12-22,1,0,15,10,0.2
2020-12-23,1,0,21,4,0.68
2020-12-24,1,0,18,7,0.44
2020-12-25,1,0,19,6,0.52
2020-12-26,2,0,12,13,-0.04
2020-12-27,1,0,16,9,0.28
2020-12-28,1,0,19,6,0.52
2020-12-29,1,0,18,7,0.44
2020-12-30,1,0,18,7,0.44
2020-12-31,1,0,16,9,0.28
2021-01-01,1,0,16,9,0.28
2021-01-02,1,0,16,9,0.28
2021-01-03,1,0,22,3,0.76
2021-01-04,1,0,20,5,0.6
2021-01-05,1,0,15,10,0.2
2021-01-06,1,0,18,7,0.44
2021-01-07,1,0,20,5,0.6
2021-01-08,1,0,14,11,0.12
2021-01-09,2,0,11,14,-0.12
2021-01-10,1,0,16,9,0.28
2021-01-11,1,0,21,4,0.68
