date,sentiment,neutral_count,positive_count,negative_count,weighted_avg
2020-08-24,2,9,0,16,-0.64
2020-08-25,2,7,1,17,-0.64
2020-08-26,2,7,0,18,-0.72
2020-08-27,2,6,0,19,-0.76
2020-08-28,2,9,0,16,-0.64
2020-08-29,2,6,0,19,-0.76
2020-08-30,2,10,1,14,-0.52
2020-08-31,2,8,0,17,-0.68
2020-09-01,2,10,0,15,-0.6
2020-09-02,2,10,0,15,-0.6
2020-09-03,2,8,1,16,-0.6
2020-09-04,2,8,2,15,-0.52
2020-09-06,2,8,1,16,-0.6
2020-09-07,2,9,0,16,-0.64
2020-09-08,2,8,0,17,-0.68
2020-09-09,2,7,0,18,-0.72
2020-09-10,2,7,0,18,-0.72
2020-09-11,2,9,0,16,-0.64
2020-09-12,2,6,0,19,-0.76
2020-09-13,0,14,0,11,-0.44
2020-09-14,0,12,1,12,-0.44
2020-09-15,2,9,0,16,-0.64
2020-09-16,0,14,0,11,-0.44
2020-09-17,2,9,0,16,-0.64
2020-09-18,2,7,0,18,-0.72
2020-09-19,0,13,0,12,-0.48
2020-09-20,2,10,0,15,-0.6
2020-09-21,0,15,0,10,-0.4
2020-09-22,2,12,0,13,-0.52
2020-09-23,2,6,0,19,-0.76
2020-09-24,2,7,0,18,-0.72
2020-09-25,2,8,0,17,-0.68
2020-09-26,2,8,0,17,-0.68
2020-09-27,2,7,0,18,-0.72
2020-09-28,2,6,0,19,-0.76
2020-09-29,2,9,0,16,-0.64
2020-09-30,2,4,0,21,-0.84
2020-10-01,2,9,0,16,-0.64
2020-10-02,2,12,0,13,-0.52
2020-10-03,2,9,0,16,-0.64
2020-10-04,2,8,0,17,-0.68
2020-10-05,2,9,0,16,-0.64
2020-10-06,2,9,0,16,-0.64
2020-10-07,0,12,3,10,-0.28
2020-10-08,2,9,0,16,-0.64
2020-10-09,2,6,0,19,-0.76
2020-10-10,2,9,0,16,-0.64
2020-10-11,0,13,1,11,-0.4
2020-10-14,2,8,0,17,-0.68
2020-10-15,2,10,0,15,-0.6
2020-10-16,2,11,0,14,-0.56
2020-10-19,2,9,0,16,-0.64
2020-10-20,2,12,0,13,-0.52
2020-10-21,2,9,0,16,-0.64
2020-10-22,2,7,0,18,-0.72
2020-10-24,2,12,0,13,-0.52
2020-10-25,2,5,0,20,-0.8
2020-10-26,2,11,1,13,-0.48
2020-10-27,2,6,0,19,-0.76
2020-10-28,2,10,1,14,-0.52
2020-10-29,2,5,0,20,-0.8
2020-10-30,2,9,0,16,-0.64
2020-10-31,2,8,0,17,-0.68
2020-11-01,2,9,0,16,-0.64
2020-11-02,2,8,0,17,-0.68
2020-11-03,2,10,0,15,-0.6
2020-11-04,2,7,0,18,-0.72
2020-11-09,2,8,0,17,-0.68
2020-11-10,2,11,0,14,-0.56
2020-11-11,2,5,0,20,-0.8
2020-11-12,2,10,1,14,-0.52
2020-11-13,2,8,0,17,-0.68
2020-11-14,2,5,0,20,-0.8
2020-11-15,2,11,0,14,-0.56
2020-11-16,2,5,0,20,-0.8
2020-11-17,2,8,0,17,-0.68
2020-11-18,2,8,1,16,-0.6
2020-11-19,2,2,0,23,-0.92
2020-11-20,2,4,0,21,-0.84
2020-11-21,0,14,0,11,-0.44
2020-11-22,2,6,0,19,-0.76
2020-11-23,2,12,0,13,-0.52
2020-11-24,2,12,0,13,-0.52
2020-11-25,2,4,0,21,-0.84
2020-11-26,2,9,0,16,-0.64
2020-11-27,2,9,1,15,-0.56
2020-11-28,2,11,0,14,-0.56
2020-11-29,2,0,1,2,-0.3333333333333330
2020-11-30,2,8,0,17,-0.68
2020-12-01,2,4,0,21,-0.84
2020-12-02,2,7,0,18,-0.72
2020-12-03,2,10,1,14,-0.52
2020-12-06,2,9,1,15,-0.56
2020-12-08,2,8,0,17,-0.68
2020-12-09,2,8,0,17,-0.68
2020-12-10,0,12,1,12,-0.44
2020-12-11,2,12,0,13,-0.52
2020-12-12,2,9,1,15,-0.56
2020-12-13,2,9,0,16,-0.64
2020-12-16,2,8,0,17,-0.68
2020-12-17,2,12,0,13,-0.52
2020-12-18,2,9,0,16,-0.64
2020-12-19,2,9,0,16,-0.64
2020-12-20,2,7,0,18,-0.72
2020-12-21,2,7,2,16,-0.56
2020-12-22,2,10,0,15,-0.6
2020-12-23,2,8,0,17,-0.68
2020-12-24,0,15,0,10,-0.4
2020-12-25,2,10,0,15,-0.6
2020-12-26,2,11,1,13,-0.48
2020-12-27,0,12,1,12,-0.44
2020-12-28,2,12,0,13,-0.52
2020-12-29,2,10,0,15,-0.6
2020-12-30,2,11,0,14,-0.56
2020-12-31,0,14,0,11,-0.44
2021-01-09,2,6,1,18,-0.68
2021-01-10,0,14,0,11,-0.44
2021-01-11,2,7,0,18,-0.72
2021-01-12,2,9,0,16,-0.64
2021-01-18,2,9,0,16,-0.64
2021-01-19,2,12,0,13,-0.52
2021-01-20,2,8,1,16,-0.6
2021-01-21,2,11,0,14,-0.56
2021-01-22,2,12,0,13,-0.52
2021-01-26,2,6,0,19,-0.76
2021-01-27,2,6,0,19,-0.76
2021-01-28,2,10,0,15,-0.6
2021-01-29,2,10,0,15,-0.6
2021-01-30,2,10,0,15,-0.6
2021-01-31,2,5,1,19,-0.72
2021-02-01,2,10,1,14,-0.52
2021-02-02,2,7,0,18,-0.72
2021-02-03,2,12,0,13,-0.52
2021-02-04,2,11,1,13,-0.48
2021-02-05,2,9,0,16,-0.64
2021-02-06,2,9,0,16,-0.64
2021-02-07,2,9,2,14,-0.48
2021-02-08,2,9,0,16,-0.64
2021-02-09,2,11,1,13,-0.48
2021-02-10,2,11,0,14,-0.56
2021-02-11,2,11,1,13,-0.48
2021-02-12,2,6,2,17,-0.6
2021-02-13,0,13,0,12,-0.48
2021-02-14,2,10,0,15,-0.6
2021-02-15,0,13,0,12,-0.48
2021-02-16,2,10,0,15,-0.6
2021-02-17,2,10,1,14,-0.52
2021-02-18,2,8,0,17,-0.68
2021-02-19,2,10,0,15,-0.6
2021-02-20,2,9,0,16,-0.64
2021-02-23,2,10,1,14,-0.52
2021-02-24,2,9,0,16,-0.64
2021-02-25,2,4,0,21,-0.84
2021-02-28,0,15,0,10,-0.4
2021-03-01,2,7,1,17,-0.64
2021-03-02,2,9,0,16,-0.64
2021-03-03,2,7,1,17,-0.64
2021-03-04,2,7,0,18,-0.72
2021-03-05,2,10,0,15,-0.6
2021-03-06,2,7,0,18,-0.72
